energy_kcal_value,energy_kj_value,carbohydrates_value,sugars_value,fat_value,saturated_fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova_group,nutrition_score_fr,fruits_vegetables_nuts_estimate_from_ingredients_100g,product_code,product_name,brands,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
725.0,3034.0,1.4,1.3,79.0,6.2,1.1,2.5,1.2,0.48,4.0,20.0,78.096875,8722700479475,Real Mayonnaise,Hellmann's,0.9285714285714287,High Calories,Low Sugar,Yes
475.0,1189.0,60.4,31.2,24.0,12.0,5.4,2.5,0.27,0.108,4.0,25.0,0.17415,6111259343344,King cookies choco,Excelo,0.5165562913907285,High Calories,High Sugar,No
213.0,1189.0,27.7,10.4,9.5,0.8,2.2,3.8,0.3725,0.149,4.0,7.0,0.0,10614594,Granatapfel Sauerkirsche Fruchtgummi,Sweet-Land,0.37545126353790614,High Calories,Moderate Sugar,No
531.0,2184.0,0.5,0.5,59.0,17.0,0.5,2.5,1.1,0.44,4.0,14.0,42.3041666666667,8719200237902,Vegetable Fat Spread with 10% Olive Oil,Bertolli,1.0,High Calories,Low Sugar,Yes
329.0,1360.0,12.0,7.8,29.0,3.4,3.8,2.3,2.8,1.12,4.0,21.0,60.0,8076809523547,Pesto Rosso,Barilla,0.65,High Calories,Moderate Sugar,Yes
1600.0,1189.0,402.5,395.0,2.5,0.0,2.5,2.5,0.0,0.0,1.0,20.0,0.0,3088543506255,Sirop d'Agave,Sunny Via,0.9813664596273292,High Calories,High Sugar,No
193.0,802.0,2.5,2.5,15.0,11.0,12.0,2.5,1.2,0.48,3.0,13.0,0.0,3480341000636,Carré Frais - Nature,Elle&Vire,1.0,Moderate Calories,Low Sugar,No
101.5,1189.0,0.196,0.182,11.06,0.882,0.154,2.5,0.21,0.084,4.0,8.0,78.096875,8718114724485,Mayonnaise,Hellmann's,0.9285714285714285,Moderate Calories,Low Sugar,Yes
555.0,2312.0,53.0,52.0,35.0,4.3,5.1,3.6,0.13,0.052,4.0,24.0,1.40625,6111250474405,Peripella,Peripella,0.9811320754716981,High Calories,High Sugar,Yes
121.0,1189.0,14.9,14.9,5.0,0.0,4.2,2.5,0.0,0.0,4.0,4.0,0.0,6111242102767,Yaourt tendre,Missing,1.0,Moderate Calories,Moderate Sugar,Yes
66.0,1189.0,8.4,7.5,2.1,0.4,3.7,0.9,0.0,0.0,4.0,0.0,0.274791666666672,5411188103387,Vanille au soja,alpro,0.8928571428571428,Low Calories,Moderate Sugar,Yes
622.0,2575.0,13.0,5.8,50.0,6.8,26.0,8.3,0.03,0.012,1.0,-8.0,100.0,3760091727732,Beurre bio cacahuète,Ethiquable,0.4461538461538461,High Calories,Moderate Sugar,No
362.0,1516.0,69.0,4.2,2.0,0.53,12.0,10.0,0.26,0.104,3.0,-3.0,0.0,5010029000023,Weetabix produit à base de blé complet 100%,Weetabix,0.06086956521739131,High Calories,Low Sugar,No
32.7437858457,1189.0,0.0,4.1,3.0,0.3,1.3,0.5,0.315,0.126,4.0,1.0,0.0,4056489346357,Bio-Almond-Mandelmilch,Vemondo Lidl,0.0,Low Calories,High Sugar,No
93.0,1189.0,3.0,3.0,5.0,3.6,9.0,2.5,0.0975,0.039,3.0,1.0,0.0,5201054017432,5% Greek Yogurt,Fage,1.0,Low Calories,Low Sugar,No
134.14,1189.0,26.0,1.7,0.8,0.2,4.5,3.8,0.0975,0.039,3.0,-3.0,0.0,4088600247519,36 Wheat Bisks,Harvest Morn,0.06538461538461539,Moderate Calories,Low Sugar,No
